sex_male,race_white,years_experience,referred,gcse,a_level,russell_group,honours,years_volunteer,income,it_skills,years_gaps,quality_cv,employed_yes
0,1,6,1,9,4,1,1,1,26683.84816823834,0,0,2,1
0,1,8,1,10,3,1,1,1,39123.330829515005,2,0,2,1
0,1,6,0,8,3,0,0,0,24753.581078610066,2,1,1,0
1,0,5,0,7,4,1,1,1,30220.627367871173,3,0,2,0
0,0,6,0,5,4,1,1,0,34512.54599061479,2,1,2,0
1,0,3,1,7,3,0,1,0,18488.283590393024,1,0,3,0
0,0,5,0,5,1,0,0,1,18019.050012123687,1,3,1,0
1,1,2,1,8,4,1,1,0,28470.631867677756,3,0,2,1
0,0,0,1,6,1,0,0,0,15624.269154340825,2,0,2,0
0,1,5,1,4,2,0,0,0,25896.00237455383,1,1,1,0
0,1,4,0,10,3,1,1,1,36735.79646704302,1,0,0,0
1,1,2,1,9,2,1,1,1,26404.87128108923,3,0,3,1
0,0,2,0,6,4,1,1,1,29221.699256767897,0,0,3,0
1,1,9,1,6,3,0,1,1,28078.5811536184,2,1,1,1
0,1,7,0,7,3,1,1,0,23491.929494973516,2,0,2,1
0,0,6,0,6,2,0,1,0,24830.678841278746,3,0,2,0
0,0,3,0,6,3,0,0,0,24268.246208969493,2,0,2,0
1,0,7,0,8,2,1,1,0,28977.739282452432,1,1,2,0
0,0,1,1,6,2,0,0,0,22801.976669461357,3,1,2,0
0,0,3,1,7,3,1,1,0,23541.842241835595,1,0,1,0
1,1,9,1,10,4,0,1,0,50816.10003343741,2,1,1,1
0,0,5,0,4,1,0,1,0,27300.038636800728,1,0,2,0
0,0,1,0,5,2,0,1,0,19624.75840408995,0,0,1,0
1,1,1,0,6,1,0,0,0,21088.137810788376,2,0,1,0
0,0,4,0,4,2,0,1,0,18747.629281982565,2,0,1,0
1,1,6,0,6,3,0,1,0,34421.50334935977,1,0,1,0
0,1,2,1,10,4,0,1,0,22309.9834321806,1,0,0,0
1,1,5,1,8,3,1,1,2,24554.272553900406,3,0,3,1
0,1,5,1,8,4,1,1,2,26729.074365522705,1,0,2,0
1,1,3,1,6,3,0,0,1,27436.498167241116,3,0,2,1
1,1,7,1,10,4,0,1,0,16065.733390696081,1,1,2,1
0,0,1,0,6,3,0,0,0,19829.4302004057,0,0,1,0
0,0,7,0,6,2,0,1,0,24895.55734566296,1,1,1,0
1,0,13,0,7,3,0,1,0,27117.74269133005,1,0,2,1
0,1,4,1,6,4,1,1,1,34122.57578009298,0,1,3,0
1,0,9,1,8,3,1,1,0,31123.9458024625,0,1,1,1
0,0,1,0,4,3,0,0,0,21232.7484007791,1,0,2,0
1,0,0,0,7,2,0,0,1,15350.350320805497,3,0,2,0
0,1,10,0,9,4,0,1,0,32186.056734425863,0,1,0,1
0,1,2,1,9,3,1,1,0,32528.235243732637,1,1,2,0
1,0,8,0,5,3,0,1,0,25459.040804781056,2,0,0,0
0,1,6,0,9,4,1,0,3,26946.49343259691,2,0,2,0
1,0,3,0,6,3,0,1,0,25713.84211053213,2,0,1,0
1,0,10,1,4,2,0,1,0,23671.188504933656,2,2,0,1
1,1,7,1,8,3,1,1,0,44462.77997599016,2,0,1,1
1,0,6,0,5,1,0,1,0,15772.448859278331,2,0,1,0
0,0,1,1,7,4,1,1,0,21234.215046313177,1,0,1,0
0,0,6,1,6,4,1,1,0,28824.895109171197,0,1,2,1
0,1,6,1,4,3,0,0,0,32740.379728187374,0,1,0,0
0,0,3,0,7,4,1,1,3,18437.009424385586,2,1,2,0
0,0,6,0,8,3,1,1,0,33054.777973942655,2,2,2,0
1,0,13,0,8,3,0,1,2,36674.027661426786,3,1,3,1
0,0,2,0,5,2,0,1,2,22969.784871253545,1,1,2,0
0,1,4,0,5,4,1,1,1,23370.649556377597,1,0,1,0
1,0,11,1,5,2,0,1,2,38108.079398251386,2,3,3,1
0,0,5,1,5,3,0,0,0,22688.71748929986,1,1,1,0
1,1,2,1,6,2,0,1,0,29155.108657324792,2,0,2,0
0,0,5,0,7,2,0,0,0,33853.26973457622,1,2,2,0
1,0,7,1,6,3,0,0,0,33837.25394682191,2,1,1,0
1,1,2,1,9,4,0,1,1,25463.734389948695,1,0,2,1
1,0,8,1,6,3,0,0,0,21373.665384340486,3,0,2,1
0,0,4,0,8,3,0,1,0,17669.304333541793,1,1,2,0
1,0,8,1,5,2,0,0,0,31141.727740385555,1,0,2,1
1,0,5,0,4,2,0,1,2,36111.7956873525,2,1,2,0
0,0,5,0,7,3,1,1,1,30437.612328293355,2,1,3,1
1,1,6,1,7,1,0,0,1,23855.502319440784,2,0,3,1
0,1,4,1,9,4,1,1,0,30813.02672525019,1,0,1,1
0,0,6,0,6,0,0,0,1,26464.001657124503,0,0,0,0
0,0,0,1,6,4,1,1,0,17651.40228346517,1,0,2,0
1,1,0,1,9,3,0,1,2,16286.795197021966,2,0,1,0
0,0,6,0,7,3,1,0,0,22540.239463527752,0,1,1,0
0,0,8,1,6,2,0,0,0,26297.84432211346,2,0,2,0
0,0,6,0,6,3,0,1,0,32509.6204064779,3,0,2,0
1,1,4,1,8,4,1,1,1,24262.547924631126,3,0,2,1
1,1,2,1,6,2,0,0,0,15509.073071873165,3,0,2,0
0,0,2,1,8,3,1,1,0,23084.764274094814,0,1,2,0
0,1,1,1,8,3,0,1,0,19147.627244401672,1,0,1,0
1,1,4,1,9,4,1,1,0,27317.729424885325,1,0,2,0
1,1,2,0,7,3,1,1,1,29498.600469415043,2,0,2,0
1,0,11,1,4,2,0,1,0,30077.159461722837,3,0,2,1
1,1,9,1,7,3,0,0,1,24430.14506427107,2,1,2,1
1,0,5,1,4,1,0,0,2,32985.19048294782,3,0,1,0
1,1,2,1,9,4,1,1,0,24910.450732048033,3,2,1,1
1,1,6,1,10,4,1,1,0,30272.171129212617,2,0,1,1
0,1,5,1,8,4,0,1,0,25218.923033608215,0,0,1,1
1,1,8,1,8,2,0,1,0,33987.936294666084,1,1,3,1
1,0,11,0,7,3,0,1,0,43083.26209683135,1,2,0,1
1,1,6,1,9,3,0,0,1,22869.829969437254,2,0,3,1
0,1,4,1,6,2,0,0,0,22009.496698822342,1,1,1,0
0,1,2,1,7,4,1,1,1,26551.978487299923,2,0,1,0
1,0,3,0,6,2,0,0,0,21742.55791992487,2,0,2,0
0,0,3,0,3,2,0,0,0,24883.435301293153,0,1,0,0
1,1,3,0,5,2,1,1,0,28339.389906030523,0,0,3,0
0,0,8,1,4,3,0,1,0,34161.76509415408,2,0,2,1
1,1,7,1,9,4,1,1,0,47263.9555619165,2,0,1,1
0,1,4,0,8,3,1,0,1,23338.52563239206,2,0,3,1
0,1,4,1,9,3,0,0,2,29296.214031896554,2,0,2,1
1,0,4,1,4,1,0,1,0,30006.91572830324,2,1,2,0
1,0,5,0,4,0,0,0,2,22362.263644014733,3,0,3,0
1,1,3,1,8,3,1,1,1,27526.692258995456,1,0,0,0
1,0,7,0,9,2,0,1,0,36215.509110406274,3,1,2,1
1,0,5,1,8,3,0,0,0,27700.09243715288,2,0,2,1
1,0,3,0,6,3,0,1,0,24201.71309606846,2,0,1,0
1,0,8,1,6,4,1,1,0,45076.146707875254,1,1,2,1
1,0,7,0,4,4,1,1,2,42284.65189983236,2,0,2,0
0,0,3,0,6,1,1,1,1,30186.117874473886,3,1,3,0
1,1,4,1,9,3,1,1,0,23804.883698450685,1,1,3,0
1,0,5,1,4,2,0,1,0,28232.02351764264,2,0,1,0
1,0,2,1,6,3,0,0,0,27521.182023294736,2,0,1,0
1,1,4,1,8,3,1,1,1,37561.828986856344,3,0,2,1
1,1,1,1,10,3,0,0,1,24151.970481780365,2,0,2,0
1,1,6,1,5,2,0,1,1,35612.51460548634,1,0,3,0
0,0,6,0,6,3,0,1,0,20882.305564270224,2,1,3,0
0,1,6,1,7,4,1,1,0,33018.297267660884,1,0,1,1
1,0,1,1,7,2,0,1,1,17658.787166868467,2,0,0,0
1,1,6,1,9,4,1,1,0,26986.035260088076,3,0,2,1
1,0,3,0,4,1,1,1,0,26927.700328403498,2,0,3,0
0,0,2,1,7,2,0,0,1,22976.44085114144,1,0,2,0
1,1,6,1,9,3,0,0,0,25694.740081114513,3,1,2,0
0,1,9,0,8,3,0,1,0,26600.21949189624,1,2,2,1
1,0,7,1,6,2,0,1,0,16807.346471809156,1,1,2,1
1,1,4,1,8,4,1,1,1,44811.06932210272,2,0,1,1
0,0,5,0,6,4,1,1,0,30464.31090149857,0,2,1,0
1,0,6,1,8,3,1,0,0,31443.35878391605,1,1,0,1
0,1,10,1,7,2,0,0,1,41370.83869192951,2,1,3,1
0,0,3,0,6,2,0,0,2,21956.826302012978,1,0,2,0
1,1,3,1,9,3,1,1,0,29206.33279512737,1,1,2,1
0,1,6,0,8,4,1,0,1,27777.762454707856,1,0,1,1
1,1,6,0,7,4,0,1,1,33197.017481536954,2,0,2,0
0,0,3,0,6,3,0,0,0,22983.256635574926,2,1,0,0
1,1,7,1,6,3,0,1,0,41907.84723147411,2,1,1,0
1,0,4,0,3,1,0,0,0,29658.650254854245,3,0,0,0
0,0,9,0,6,4,1,1,0,32722.505454735605,0,2,3,1
0,1,3,0,9,4,1,1,1,31216.46733437801,0,0,2,0
0,0,2,0,6,3,0,1,0,22298.14241184073,0,0,1,0
0,0,5,1,6,4,1,1,1,29228.896660730446,1,1,1,0
1,1,12,1,7,3,1,0,0,40346.20430863692,2,0,2,1
1,1,2,1,10,3,0,1,1,20115.781006790392,2,0,2,1
0,0,13,0,4,1,0,0,0,36160.71549541485,2,1,2,1
1,0,3,1,5,3,0,0,0,28560.332367969422,3,0,1,0
0,0,6,0,7,4,1,1,0,30281.156134845052,1,2,0,0
1,1,6,1,9,3,0,1,1,35485.34309038593,3,0,1,1
1,0,3,1,7,3,1,1,0,27581.092874341422,3,0,3,0
1,0,3,0,7,3,0,1,0,19798.777123315696,3,0,2,0
0,1,1,1,6,3,0,0,0,19374.183704274994,0,0,3,0
0,0,10,0,5,2,0,1,0,32847.68268756033,1,2,3,1
1,0,8,1,6,3,0,1,0,22009.85289302385,0,1,3,1
0,1,7,0,9,4,1,1,0,36576.14950926,2,0,0,0
1,0,3,0,7,4,1,1,0,22460.328696886492,2,0,3,0
1,1,8,1,10,3,0,1,0,31630.489029569893,2,1,3,1
0,1,6,1,5,4,0,1,0,34246.33662153491,1,1,0,1
0,1,1,1,7,4,1,0,0,25446.320213503277,1,0,1,0
1,0,10,1,4,1,0,0,1,35770.12981196697,2,0,1,1
0,0,2,0,7,2,0,1,1,27688.832903364153,1,0,1,0
0,1,0,0,6,4,0,1,0,17857.371365175637,2,0,2,0
0,0,7,0,6,2,0,1,0,34126.42816624875,1,1,3,0
1,0,4,1,5,2,0,1,0,17619.012796470455,2,0,2,0
1,0,11,0,6,2,0,1,0,32587.817520814635,2,3,2,1
1,1,9,1,8,3,0,0,0,31665.191076614603,2,0,0,1
0,0,3,1,6,2,0,1,0,25050.1627137344,1,1,2,0
1,0,6,1,7,4,1,1,4,24327.31272623955,2,1,1,1
0,0,5,0,9,2,0,1,1,27442.203597839987,0,1,3,0
1,0,8,1,7,3,1,1,0,30184.96880965314,2,0,3,1
1,1,6,1,8,3,0,1,2,33018.489019826484,2,0,2,1
0,0,4,0,3,4,1,1,1,31474.998344438824,1,0,3,0
1,1,6,1,7,3,0,0,0,32504.385511773988,3,1,2,0
0,1,0,0,7,4,1,1,0,20361.599034145504,1,0,2,0
1,0,5,1,3,1,0,0,0,28500.155132365533,3,1,2,0
1,0,8,0,5,3,0,1,0,27693.25870964833,2,1,1,0
0,1,1,0,8,4,1,1,0,27318.502147799205,1,0,0,0
1,1,6,1,9,3,0,0,0,31667.558545601027,1,0,1,1
1,0,8,0,8,3,0,0,1,29392.94062715006,2,1,0,1
0,0,5,0,8,3,1,1,0,28284.847609033168,0,0,2,0
0,0,4,0,4,2,0,0,1,25775.73509341235,2,3,1,0
1,0,6,0,4,4,1,1,1,24864.393871393564,1,0,0,0
0,1,4,1,9,4,1,1,0,26459.365679957762,2,2,3,0
0,0,1,0,9,4,1,0,0,25148.929551698046,2,1,1,0
0,0,3,0,6,1,0,1,1,27224.73654982338,3,0,1,0
0,0,7,0,8,3,0,0,4,25472.125208819925,0,4,2,0
0,1,3,1,4,3,0,1,0,31467.653993946496,1,1,1,0
1,1,4,1,8,4,1,1,1,32137.19114041693,3,1,2,1
0,1,6,1,10,4,1,1,1,35771.26592934893,1,0,1,1
0,1,5,0,7,3,1,1,0,31965.16385202795,2,0,2,1
1,0,5,0,5,2,0,0,3,16757.192735566146,3,1,2,0
1,0,4,1,3,4,1,1,2,23344.05983773229,3,0,0,0
0,1,5,0,8,4,1,1,1,34411.648857689215,1,1,2,1
0,1,4,1,7,4,0,1,2,20949.09047451359,1,1,2,0
1,1,2,1,10,3,0,1,1,19780.643071032056,2,0,0,0
1,1,9,1,10,4,0,1,0,34250.24161112088,1,0,2,1
0,1,10,1,9,4,1,0,2,31444.04246663946,1,1,1,1
1,1,0,1,8,4,1,1,1,20530.292359065945,2,0,2,0
0,0,10,1,7,3,0,1,0,35793.37562683517,2,3,2,1
0,0,3,0,7,4,1,1,1,27714.604106979645,1,1,2,0
1,1,8,1,7,3,0,1,0,23464.93437577462,2,1,3,1
0,1,6,1,8,4,0,1,1,21403.67829059239,1,0,2,1
0,0,4,1,7,3,1,1,0,33536.471286928056,2,0,0,0
0,1,4,0,8,4,0,1,0,32300.769573728754,1,0,2,1
1,1,2,1,7,4,1,0,1,27850.21246945066,3,0,2,0
1,0,5,0,6,2,0,1,0,33558.833659188254,1,0,3,0
0,1,7,0,6,3,0,1,1,34322.88710994863,1,2,2,0
1,0,5,1,6,2,0,0,0,21243.105903577038,2,0,3,0
1,0,1,1,7,3,0,1,1,18059.372293789205,2,0,3,0
0,1,8,1,6,4,1,1,0,35329.11901415788,1,1,2,1
0,1,4,0,8,3,1,1,0,30370.759479655553,2,0,2,0
1,1,2,1,6,2,0,1,0,16553.29984562204,2,0,1,0
1,1,2,1,6,4,0,1,0,26365.335731726685,2,0,2,0
1,1,8,1,8,3,1,0,0,22479.569722770408,3,0,2,1
0,1,5,1,3,3,0,0,2,24002.431805106295,0,2,1,0
1,1,5,1,8,4,1,1,1,39550.892650450456,2,0,1,1
0,0,5,0,5,3,0,1,1,34692.87645025442,2,0,3,0
0,1,5,1,7,3,0,1,0,24638.11354961046,1,0,2,1
1,0,1,0,7,4,1,1,0,25317.00812088293,1,1,1,0
0,0,3,0,6,3,0,0,0,26022.70144961476,2,1,3,0
1,1,8,1,9,4,1,1,0,25501.48231721453,2,0,2,1
0,1,2,0,8,4,1,1,0,18269.75948716378,1,0,3,0
0,0,6,1,2,0,0,0,0,34808.990847397836,0,1,1,0
1,0,1,0,4,4,1,1,0,19758.02171127725,3,0,1,0
1,1,8,0,9,4,1,1,0,40480.527453895134,2,0,2,1
0,0,9,1,6,4,1,1,1,20354.084156358156,1,0,3,1
1,0,10,1,5,2,0,0,1,30644.53031291473,2,3,2,1
0,0,8,0,5,3,1,1,0,32465.253602925965,2,0,3,0
0,1,7,0,7,4,1,1,0,29138.1960006572,0,1,2,0
0,0,4,0,6,2,1,1,1,24576.419228259663,0,0,3,0
1,0,9,0,3,3,0,0,0,31305.79274841837,3,1,1,0
1,1,3,1,8,4,1,1,0,35035.30725578937,2,0,2,1
1,1,7,1,7,2,0,0,1,18336.179571359193,2,0,2,1
1,0,6,0,4,0,0,0,1,19663.812503628287,1,1,3,0
0,1,11,1,9,3,1,1,1,41693.47275845643,3,1,3,1
0,1,7,0,8,2,0,1,1,41766.1383449808,1,1,3,0
0,0,6,0,5,3,0,0,1,23830.29983506583,2,0,1,1
0,1,4,0,6,3,0,1,0,17195.746010835537,0,1,1,0
1,1,1,1,7,4,1,1,0,22755.187006077806,3,0,2,1
1,1,6,1,8,4,1,1,1,28719.48543664182,2,1,2,1
0,1,3,0,8,3,1,1,0,25836.926748612204,2,1,3,0
1,1,4,1,8,3,0,0,0,37675.41004465065,1,0,3,0
1,1,5,1,10,4,1,1,0,34061.210505604315,1,2,3,1
0,1,2,1,9,4,1,0,1,28656.80845023676,2,0,2,0
0,1,4,0,4,3,1,1,1,35802.49244705016,3,1,2,0
0,1,3,0,7,3,0,1,0,22442.59746223818,0,1,3,0
0,1,4,1,7,2,1,1,1,27782.567804908726,1,1,2,0
1,1,3,0,7,3,1,1,2,34841.38510255922,3,0,2,0
0,0,3,1,6,4,1,1,1,26801.983718031377,1,1,2,0
0,1,7,1,6,2,1,1,1,36736.08384457269,1,1,0,0
1,1,3,1,7,3,0,1,0,35127.8680377525,1,1,1,0
0,0,3,0,7,3,0,0,0,22449.27130251604,2,0,1,0
1,0,3,1,7,3,0,1,2,27676.993971615288,3,0,3,0
1,0,5,1,2,2,0,0,1,39527.006365129615,2,0,1,0
0,0,4,0,9,3,0,1,0,20132.370956762727,1,0,2,0
1,1,8,1,9,3,0,1,1,18498.69798498151,2,1,2,1
1,0,5,1,6,3,0,0,1,22113.249441789285,1,0,3,0
1,0,8,0,7,3,0,1,2,43735.30775275393,3,0,3,1
0,0,6,0,5,2,0,0,0,27573.686968497354,1,1,2,0
0,0,8,0,6,3,0,1,0,34105.97558720004,1,1,2,0
0,1,6,0,7,2,1,1,2,22853.399356789618,1,2,0,0
1,1,3,1,9,4,1,0,0,28806.442864072345,2,0,2,0
1,0,4,1,8,3,0,1,1,28548.02444081394,2,0,1,1
0,1,7,1,9,3,1,1,1,29846.54506249306,2,3,2,0
1,0,3,0,8,3,0,1,1,25184.640900156424,0,1,3,0
0,1,5,0,9,3,0,0,0,32034.108570182663,2,1,1,0
1,0,5,1,7,3,0,1,0,24384.52097637493,3,0,3,1
0,1,3,0,8,4,0,1,1,26782.625641540002,2,2,3,0
1,0,4,1,7,3,0,0,0,19099.954563263236,2,1,2,0
1,0,3,1,3,3,0,1,0,26495.52592287494,2,2,1,0
0,0,2,0,7,3,1,1,0,32730.318397225466,0,1,1,0
1,1,5,1,7,3,0,1,0,30492.684862715087,2,1,1,0
1,1,5,1,9,4,0,1,2,39959.03664741715,1,0,2,1
0,0,11,0,6,2,0,0,1,33951.93866079462,2,3,1,0
0,1,5,0,8,4,1,1,0,34157.26359146235,0,0,0,0
1,0,1,1,5,2,0,1,0,23473.540554378724,1,0,3,0
1,1,4,1,10,4,0,1,0,20749.556624530385,3,0,1,1
0,0,3,1,7,2,0,0,0,23099.270988482414,3,0,2,0
1,1,0,1,8,1,0,0,1,18402.581417043068,3,0,1,0
0,1,4,1,5,4,1,1,0,33567.98744278656,1,0,1,0
1,1,11,1,8,1,1,1,3,50821.375536452135,1,0,2,1
1,1,3,1,8,4,0,1,0,23328.616589572157,1,2,3,0
0,1,10,1,7,3,0,1,1,38870.44216114356,0,2,2,1
0,0,3,0,5,2,0,1,0,18673.940438188343,1,1,3,0
0,0,6,1,6,4,1,1,0,30589.3250648127,2,0,1,0
1,0,1,0,4,2,0,1,1,23252.34963771472,3,1,3,0
1,0,6,1,9,4,1,1,0,20637.460824209837,3,0,1,1
1,1,12,1,8,3,0,1,0,8984.95085457584,3,0,3,1
1,1,2,1,8,2,0,1,1,17723.792167692503,3,1,1,0
1,1,4,1,6,3,1,0,1,37297.69087438971,2,0,3,0
1,0,4,0,5,3,0,0,1,20597.963487067995,2,0,1,0
0,0,7,1,6,2,0,1,3,23665.621063804632,1,2,0,0
0,1,7,1,9,4,1,1,0,27557.094099923666,0,1,2,1
0,1,7,1,6,3,0,1,0,32750.77466007585,0,1,2,1
0,0,9,0,6,4,1,1,1,18045.678018548115,2,3,2,1
0,1,4,0,10,4,1,1,1,26790.771086173463,0,1,3,1
0,1,7,0,8,4,1,1,0,31419.084714986002,1,2,1,0
1,0,11,1,6,4,1,1,2,30097.73731576562,1,0,0,1
0,1,4,1,6,3,0,1,1,28528.251264884453,2,1,1,0
1,1,3,1,7,4,1,1,2,30516.09495839912,3,1,2,0
0,0,7,0,8,3,0,1,0,26405.67352344064,1,1,2,1
1,1,4,1,6,4,1,1,0,31950.627691337984,1,0,2,0
1,1,3,1,6,3,0,1,0,26485.283261982568,3,0,1,0
1,0,8,1,8,3,0,1,0,31441.5716413864,2,0,2,1
1,1,6,1,8,3,1,1,0,28069.577196230395,2,0,2,1
1,0,4,1,7,4,1,1,0,24834.822997191593,1,1,1,0
1,0,9,0,8,4,1,0,1,31343.43666245681,3,0,1,1
0,1,5,0,6,3,0,1,2,20749.124216166827,0,0,2,0
0,0,11,0,7,4,1,1,0,34772.58543995977,2,3,3,1
0,0,9,1,5,1,0,1,2,36015.73348473896,0,2,2,0
0,0,7,0,5,4,0,1,1,25636.003473476532,0,0,1,1
0,1,5,0,7,4,1,1,2,36915.64579320268,2,0,3,0
1,1,12,0,7,4,0,1,1,24550.12732907404,2,0,1,1
1,0,8,1,5,1,0,0,0,23591.977123540255,2,0,2,0
0,1,4,1,6,3,0,1,1,25383.640301423664,3,0,2,0
1,1,5,1,7,2,0,0,1,21717.033412065426,3,1,3,0
0,1,1,0,9,4,0,1,0,25620.698046915193,1,0,0,0
0,1,4,1,10,4,1,1,0,33249.71508906197,0,0,3,1
0,0,5,0,8,2,0,0,0,17030.055690390298,2,1,2,0
1,0,10,1,8,4,1,1,1,28054.08072162657,2,0,3,1
0,0,7,0,8,4,1,1,1,34528.75937042468,1,0,1,1
0,0,3,1,5,2,0,1,0,23387.24474830519,0,0,2,0
1,0,5,1,8,3,1,0,1,28749.28972750564,2,1,1,1
0,0,1,1,6,4,0,0,0,24978.25849657463,1,0,3,0
0,1,4,1,8,4,1,1,1,27029.399057275492,2,2,2,1
0,0,8,1,5,4,1,1,1,36317.92712697536,0,3,3,0
1,0,5,0,5,3,0,0,0,28907.184144555893,3,1,1,0
0,0,8,0,5,2,0,1,0,24989.084874995697,2,0,3,0
1,0,7,1,5,1,0,1,0,32292.513693997607,2,0,2,1
1,1,6,1,7,4,1,1,0,28293.75585967666,0,0,2,1
0,1,8,0,8,3,0,1,0,31028.56511604069,1,2,1,1
1,0,4,0,7,2,0,1,0,28094.63806797619,2,0,1,0
0,0,4,0,8,2,0,1,0,27032.701468759904,0,2,3,0
1,1,1,1,8,3,1,1,1,27954.204057253617,3,0,1,0
1,1,5,1,8,4,1,1,1,37924.9452971145,3,0,2,1
1,1,8,1,9,4,1,1,2,32400.279281106905,2,1,3,1
1,1,4,1,9,2,0,0,0,26490.673241786917,2,0,2,1
0,0,6,0,3,3,0,1,1,24813.965874757196,0,2,1,0
1,0,9,1,1,2,0,1,1,24992.02135596279,2,0,3,0
0,1,6,0,7,3,1,0,0,36441.823577020405,0,1,3,0
1,0,9,1,8,1,1,0,0,42724.99590365519,3,2,1,1
0,1,3,0,6,3,0,0,0,27344.84691420418,2,0,2,0
0,0,5,0,3,2,0,1,1,20925.705333892456,2,1,2,0
0,0,2,1,5,2,0,0,0,19101.35938139938,1,1,2,0
1,1,10,1,8,4,1,1,0,41154.079640156204,2,1,2,1
1,0,4,1,8,4,1,1,0,32236.681626771217,2,0,1,0
0,1,8,1,8,4,0,1,1,36252.12175500872,1,1,0,1
0,1,7,0,6,4,1,1,1,33769.96686802966,2,2,2,1
1,1,5,1,7,1,0,0,0,28663.60910897729,0,0,0,0
1,1,5,1,8,2,0,0,1,26683.79698130537,2,1,3,1
1,1,4,1,9,4,1,1,1,34819.35259499703,3,0,1,1
1,1,6,1,9,3,0,1,0,33205.41366739449,2,0,2,1
0,0,4,1,8,2,0,1,1,15977.96138751462,1,0,0,0
1,1,0,1,9,3,1,1,0,19264.837689933032,1,0,2,1
1,1,5,1,9,3,1,1,1,33845.36397984802,3,0,2,0
0,0,8,0,7,3,0,1,0,33016.606885978865,1,2,3,1
1,1,2,1,8,3,0,1,0,27884.650823949774,3,0,3,0
1,1,5,1,9,4,1,0,1,42182.72934634151,1,2,2,1
1,0,3,1,6,3,0,1,1,25097.411038323055,1,0,2,0
